word,pos_tag,0
accident,NN,676
vehicle,NN,621
collision,NN,568
traffic,JJ,292
nontraffic,JJ,292
Occupant,NNP,271
transport,NN,258
motor,NN,235
Person,NNP,194
heavy,JJ,171
three-wheeled,JJ,171
van,NN,169
truck,NN,169
pick-up,JJ,169
Unspecified,JJ,161
railway,NN,156
other,JJ,156
Passenger,NNP,153
Driver,NNP,126
occupant,NN,120
outside,JJ,98
car,NN,93
rider,NN,86
Car,NN,84
Bus,NNP,84
train,NN,77
boarding,NN,70
Motorcycle,NNP,66
Pedal,NNP,66
nonmotor,NN,65
noncollision,NN,64
pedal,JJ,63
two-,JJ,63
cycle,NN,63
object,NN,62
animal,JJ,61
pedestrian,JJ,60
stationary,JJ,60
Accident,NNP,32
submersion,NN,30
special,JJ,27
watercraft,NN,25
unspecified,JJ,24
Other,JJ,23
Pedestrian,JJ,23
motorcycle,NN,20
causing,NN,20
pedal,NN,20
cyclist,NN,20
bus,NN,20
],NN,18
streetcar,NN,12
ship,NN,10
Rider,NNP,10
Water-transport-related,JJ,10
board,NN,10
occupant,JJ,10
),NN,10
injury,NN,10
water,NN,10
drowning,NN,10
off-road,JJ,9
construction,NN,9
industrial,JJ,9
all-terrain,JJ,9
traffic,NN,9
agricultural,JJ,9
nontraffic,NN,8
Traffic,NNP,6
Nontraffic,NNP,6
aircraft,NN,6
Canoe,NNP,5
Inflatable,JJ,5
craft,NN,5
fall,NN,5
Sailboat,NNP,4
two-,NNP,4
Water-skis,JJ,4
air,NN,4
boat,JJ,4
[,NNP,3
],NNP,3
Merchant,NNP,3
nonmotor-vehicle,NN,2
Merchant,JJ,2
antecedent,NN,2
stock,NN,2
rolling,NN,2
fixed-wing,JJ,2
derailment,NN,2
motor-vehicle,NN,2
Glider,NNP,1
Hang-glider,NN,1
Helicopter,NNP,1
Fishing,NNP,1
thrown,NN,1
Balloon,NNP,1
nonpowered-aircraft,NN,1
Parachutist,NNP,1
nonpowered-aircraft,JJ,1
ground,NN,1
private,JJ,1
commercial,JJ,1
Spacecraft,NNP,1
Ultralight,NNP,1
powered-glider,JJ,1
animal-drawn,JJ,1
Sailboat,JJ,1
